,square,space_H,space_W,square_H,square_W,margin_H,margin_W,amount_sq_H,amount_sq_W,h,w,busbar_width,coverage [%],amount of ptc elements,square/aspect-ratio
0,0.075,4.8,4.2,0.5,6.7,5.05,5.7,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
1,0.075,4.8,4.5,0.5,6.7,5.05,5.55,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
2,0.075,4.8,4.8,0.5,6.7,5.05,5.4,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
3,0.075,4.8,3.8999999999999995,0.5,6.7,5.05,5.85,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
4,0.075,4.8,4.2,0.5,6.7,5.05,5.7,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
5,0.075,4.8,4.5,0.5,6.7,5.05,5.55,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
6,0.075,4.8,4.8,0.5,6.7,5.05,5.4,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
7,0.075,4.8,3.5999999999999996,0.5,6.7,5.05,6.0,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
8,0.075,4.8,3.8999999999999995,0.5,6.7,5.05,5.85,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
9,0.075,4.8,4.2,0.5,6.7,5.05,5.7,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
10,0.075,4.8,4.5,0.5,6.7,5.05,5.55,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
11,0.075,4.8,4.8,0.5,6.7,5.05,5.4,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
12,0.075,4.8,3.5999999999999996,0.5,6.7,5.05,6.0,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
13,0.075,4.8,3.8999999999999995,0.5,6.7,5.05,5.85,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
14,0.075,4.8,4.2,0.5,6.7,5.05,5.7,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
15,0.075,4.8,4.5,0.5,6.7,5.05,5.55,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
16,0.075,4.8,4.8,0.5,6.7,5.05,5.4,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
17,0.075,4.8,3.3,0.5,6.7,5.05,6.15,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
18,0.075,4.8,3.5999999999999996,0.5,6.7,5.05,6.0,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
19,0.075,4.8,3.8999999999999995,0.5,6.7,5.05,5.85,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
20,0.075,4.8,4.2,0.5,6.7,5.05,5.7,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
