,coverage [%],amount of ptc elements,square/aspect-ratio
0,3.0,58.0,0.07
1,3.0,58.0,0.07
2,3.0,58.0,0.07
3,3.0,58.0,0.07
4,3.0,58.0,0.07
5,3.0,58.0,0.07
6,3.0,58.0,0.07
7,3.0,58.0,0.07
8,3.0,58.0,0.07
9,3.0,58.0,0.07
10,3.0,58.0,0.07
11,3.0,58.0,0.07
12,3.0,58.0,0.07
13,3.0,58.0,0.07
14,3.0,58.0,0.07
15,3.0,58.0,0.07
16,3.0,58.0,0.07
17,3.0,58.0,0.07
18,3.0,58.0,0.07
19,3.0,58.0,0.07
20,3.0,58.0,0.07
21,3.0,58.0,0.07
22,3.0,58.0,0.07
23,3.0,58.0,0.07
24,3.0,58.0,0.07
25,3.0,58.0,0.07
26,3.0,58.0,0.07
27,3.0,58.0,0.07
28,3.0,58.0,0.07
29,3.0,58.0,0.07
30,3.0,58.0,0.07
31,3.0,58.0,0.07
32,3.0,58.0,0.07
33,3.0,58.0,0.07
34,3.0,58.0,0.07
35,3.0,58.0,0.07
36,3.0,58.0,0.07
37,3.0,58.0,0.07
38,3.0,58.0,0.07
39,3.0,58.0,0.07
40,3.0,58.0,0.07
41,3.0,58.0,0.07
42,3.0,58.0,0.07
43,3.0,58.0,0.07
44,3.0,58.0,0.07
45,3.0,58.0,0.07
46,3.0,58.0,0.07
47,3.0,58.0,0.07
48,3.0,58.0,0.07
49,3.0,58.0,0.07
50,3.0,58.0,0.07
51,3.0,58.0,0.07
52,3.0,58.0,0.07
53,3.0,58.0,0.07
54,3.0,58.0,0.07
55,3.0,58.0,0.07
56,3.0,58.0,0.07
57,3.0,58.0,0.07
58,3.0,58.0,0.07
59,3.0,58.0,0.07
60,3.0,58.0,0.07
61,3.0,58.0,0.07
62,3.0,58.0,0.07
63,3.0,58.0,0.07
64,3.0,58.0,0.07
65,3.0,58.0,0.07
66,3.0,58.0,0.07
67,3.0,58.0,0.07
68,3.0,58.0,0.07
69,3.0,58.0,0.07
70,3.0,58.0,0.07
71,3.0,58.0,0.07
72,3.0,58.0,0.07
73,3.0,58.0,0.07
74,3.0,58.0,0.07
75,3.0,58.0,0.07
76,3.0,58.0,0.07
77,3.0,58.0,0.07
78,3.0,58.0,0.07
79,3.0,58.0,0.07
80,3.0,58.0,0.07
81,3.0,58.0,0.07
82,3.0,58.0,0.07
83,3.0,58.0,0.07
84,3.0,58.0,0.07
85,3.0,58.0,0.07
86,3.0,58.0,0.07
87,3.0,58.0,0.07
88,3.0,58.0,0.07
89,3.0,58.0,0.07
90,3.0,58.0,0.07
91,3.0,58.0,0.07
92,3.0,68.0,0.09
93,3.0,68.0,0.09
94,3.0,68.0,0.09
95,3.0,68.0,0.09
96,3.0,68.0,0.09
97,3.0,68.0,0.09
98,3.0,68.0,0.09
99,3.0,68.0,0.09
100,3.0,68.0,0.09
101,3.0,68.0,0.09
102,3.0,68.0,0.09
103,3.0,68.0,0.09
104,3.0,68.0,0.09
105,3.0,68.0,0.09
106,3.0,68.0,0.09
107,3.0,68.0,0.09
108,3.0,68.0,0.09
109,3.0,68.0,0.09
110,3.0,68.0,0.09
111,3.0,68.0,0.09
112,3.0,68.0,0.09
113,3.0,68.0,0.09
114,3.0,68.0,0.09
115,3.0,68.0,0.09
116,3.0,68.0,0.09
117,3.0,68.0,0.09
118,3.0,68.0,0.09
119,3.0,68.0,0.09
120,3.0,68.0,0.09
121,3.0,68.0,0.09
122,3.0,68.0,0.09
123,3.0,68.0,0.09
124,3.0,68.0,0.09
125,3.0,68.0,0.09
126,3.0,68.0,0.09
127,3.0,68.0,0.09
128,3.0,68.0,0.09
129,3.0,68.0,0.09
130,3.0,68.0,0.09
131,3.0,68.0,0.09
132,3.0,68.0,0.09
133,3.0,68.0,0.09
134,3.0,68.0,0.09
135,3.0,68.0,0.09
136,3.0,68.0,0.09
137,3.0,68.0,0.09
138,3.0,68.0,0.09
139,3.0,68.0,0.09
140,3.0,68.0,0.09
141,3.0,68.0,0.09
142,3.0,68.0,0.09
143,3.0,68.0,0.09
144,3.0,68.0,0.09
145,3.0,68.0,0.09
146,3.0,68.0,0.09
147,3.0,68.0,0.09
148,3.0,68.0,0.09
149,3.0,68.0,0.09
150,3.0,68.0,0.09
151,3.0,68.0,0.09
152,3.0,68.0,0.09
153,3.0,68.0,0.09
154,3.0,68.0,0.09
155,3.0,68.0,0.09
156,3.0,68.0,0.09
157,3.0,68.0,0.09
158,6.0,78.0,0.1
159,6.0,78.0,0.1
160,6.0,78.0,0.1
161,6.0,78.0,0.1
162,6.0,78.0,0.1
163,6.0,78.0,0.1
164,6.0,78.0,0.1
165,6.0,78.0,0.1
166,6.0,78.0,0.1
167,6.0,78.0,0.1
168,6.0,78.0,0.1
169,6.0,78.0,0.1
170,6.0,78.0,0.1
171,6.0,78.0,0.1
172,6.0,78.0,0.1
173,6.0,78.0,0.1
174,6.0,78.0,0.1
175,6.0,78.0,0.1
176,6.0,78.0,0.1
177,6.0,78.0,0.1
178,6.0,78.0,0.1
179,6.0,78.0,0.1
180,6.0,78.0,0.1
181,6.0,78.0,0.1
182,6.0,78.0,0.1
183,6.0,78.0,0.1
184,6.0,78.0,0.1
185,6.0,78.0,0.1
186,6.0,78.0,0.1
187,6.0,78.0,0.1
188,6.0,78.0,0.1
189,6.0,78.0,0.1
190,6.0,78.0,0.1
191,6.0,78.0,0.1
192,6.0,78.0,0.1
193,6.0,78.0,0.1
194,6.0,78.0,0.1
195,6.0,78.0,0.1
196,6.0,78.0,0.1
197,6.0,78.0,0.1
198,6.0,78.0,0.1
199,6.0,78.0,0.1
200,6.0,78.0,0.1
201,6.0,78.0,0.1
202,6.0,78.0,0.1
203,6.0,78.0,0.1
204,6.0,78.0,0.1
205,6.0,78.0,0.1
206,6.0,78.0,0.1
207,6.0,78.0,0.1
208,6.0,78.0,0.1
209,6.0,78.0,0.1
210,6.0,78.0,0.1
211,6.0,78.0,0.1
212,6.0,78.0,0.1
213,6.0,78.0,0.1
214,6.0,78.0,0.1
215,6.0,78.0,0.1
216,6.0,78.0,0.1
217,6.0,78.0,0.1
218,6.0,78.0,0.1
219,6.0,78.0,0.1
220,6.0,78.0,0.1
221,6.0,78.0,0.1
222,6.0,78.0,0.1
223,6.0,78.0,0.1
224,6.0,78.0,0.1
225,6.0,78.0,0.1
226,6.0,78.0,0.1
227,6.0,78.0,0.1
228,6.0,78.0,0.1
229,6.0,78.0,0.1
230,6.0,78.0,0.1
231,6.0,78.0,0.1
232,6.0,78.0,0.1
233,6.0,78.0,0.1
234,6.0,78.0,0.1
235,6.0,78.0,0.1
236,6.0,78.0,0.1
237,6.0,78.0,0.1
238,6.0,78.0,0.1
239,6.0,78.0,0.1
240,6.0,78.0,0.1
241,6.0,78.0,0.1
242,6.0,78.0,0.1
243,6.0,78.0,0.1
244,6.0,78.0,0.1
